No.,名前,種別,初期値,Tab順,数字,英字,記号,カナ,全角,日付,その他,必須項目,最小文字数,最大文字数,最小値,最大値,文字寄せ,フォーマット,遷移先,遷移方法,入力,出力,DB入力,DB出力,DB項目名,備考,ID
1,検証用サンプルページ,ラベル,,,,,,,●,,,,,,,,左寄せ,,,,,●,,,,,検証用サンプルページ
2,タイトル,ラベル,,,,,,,●,,,,,,,,左寄せ,,,,,●,,,,,タイトル
3,タイトル入力テキスト,テキストボックス,,1,●,●,●,●,●,,,●,0,80,,,左寄せ,,,,●,●,●,,,タイトル入力は必須です,タイトル入力テキスト
4,著者名,ラベル,,,,,,,●,,,,,,,,左寄せ,,,,,●,,,,,著者名
5,著者名入力テキスト,テキストボックス,,2,,●,,●,●,,,,0,30,,,左寄せ,,,,●,●,●,,,,著者名入力テキスト
6,出版社,ラベル,,,,,,,●,,,,,,,,左寄せ,,,,,●,,,,,出版社
7,出版社入力テキスト,テキストボックス,,3,●,●,,●,●,,,,0,20,,,左寄せ,,,,●,●,●,,,,出版社入力テキスト
8,出版時期,ラベル,,,,,,,●,,,,,,,,左寄せ,,,,,●,,,,,出版時期
9,出版時期from,テキストボックス,,5,●,,,,,,,,,,2009,2013,左寄せ,,,,●,●,●,,,,出版時期from
10,出版時期to,テキストボックス,,6,●,,,,,,,,,,2009,2013,左寄せ,,,,●,●,●,,,,出版時期to
11,最大表示件数,ラベル,,,,,,,●,,,,,,,,左寄せ,,,,,●,,,,,最大表示件数
12,最大表示件数セレクト,テキストボックス,,7,●,,,,,,,,2,3,50,300,左寄せ,,,,●,●,●,,,,最大表示件数セレクト
13,検索開始,送信ボタン,検索開始,8,,,,,●,,,,4,4,,,中央寄せ,,,,●,●,●,,,,検索開始
14,取消,リセットボタン,取消,9,,,,,●,,,,2,2,,,中央寄せ,,,,●,●,●,,,,取消
